ID,account_type,gender,age,Income,Emp_Tenure_Years,Tenure_with_Bank,region_code,NetBanking_Flag,Avg_days_between_transaction
1212,current,,55,MEDIUM,21,9,249,1,14
7387,saving,M,30,MEDIUM,5,5,921,0,11
4113,saving,M,66,MEDIUM,13.8,4,864,1,17
14259,current,F,60,LOW,40,3,485,1,9
7764,current,M,58,LOW,15.2,10,863,0,7
16654,saving,M,35,LOW,10.5,4,685,1,3
15228,saving,M,53,HIGH,6.6,5,508,1,7
19609,current,F,35,MEDIUM,10.5,10,867,1,16
2113,current,M,66,MEDIUM,9.2,4,623,1,6
17441,saving,M,38,HIGH,10.8,8,802,1,2
10551,current,M,55,LOW,3.5,5,737,1,19
17795,current,M,47,LOW,16.2,2,464,1,5
12942,current,M,32,LOW,10.8,8,614,1,13
149,saving,M,28,MEDIUM,4.8,1,594,1,17
17680,current,M,30,LOW,5,4,507,1,15
15402,current,F,120,MEDIUM,20,6,445,1,14
8723,current,M,53,LOW,16.5,6,307,1,2
16532,current,M,47,MEDIUM,21.6,1,296,0,10
11859,current,M,36,MEDIUM,12.8,8,503,1,5
5390,saving,M,37,MEDIUM,17,9,354,1,15
903,current,M,42,MEDIUM,22,2,683,0,18
8766,current,M,53,MEDIUM,19.8,7,503,1,18
3246,current,M,33,MEDIUM,9.1,10,958,1,
16165,saving,M,53,MEDIUM,33,10,464,1,10
5379,current,M,38,LOW,3.6,9,269,1,5
6303,current,M,30,MEDIUM,5,10,372,1,19
6314,current,M,40,LOW,10,8,883,0,9
19698,current,M,33,LOW,11.7,2,623,1,14
15884,current,M,42,LOW,4.4,6,710,1,6
6279,current,M,53,MEDIUM,26.4,1,656,1,17
12588,current,M,34,HIGH,7,9,233,1,20
8646,current,F,53,MEDIUM,19.8,5,743,1,4
16199,,M,56,MEDIUM,36,6,536,1,2
3089,current,M,29,MEDIUM,3.6,10,799,1,3
12984,current,F,42,MEDIUM,13.2,4,683,1,18
7684,current,M,34,MEDIUM,8.4,6,385,1,14
3187,current,M,33,LOW,3.9,5,640,1,20
5898,current,M,30,MEDIUM,1,9,525,1,7
9347,current,M,55,MEDIUM,3.5,9,638,1,10
14555,current,M,60,MEDIUM,28,3,966,1,4
9054,current,M,60,MEDIUM,24,5,968,0,9
12512,current,M,35,MEDIUM,13.5,1,523,0,7
14224,current,M,53,MEDIUM,9.9,7,723,1,2
18740,current,M,62,HIGH,37.8,8,863,1,16
18134,current,M,34,MEDIUM,12.6,4,882,0,13
12413,current,M,27,LOW,3.5,8,447,1,
12554,current,M,35,MEDIUM,15,1,708,0,17
17645,current,M,35,HIGH,15,6,123,0,14
7604,current,M,55,MEDIUM,24.5,1,802,1,3
1590,current,F,29,MEDIUM,4.5,6,867,1,4
16556,current,M,34,MEDIUM,12.6,4,802,1,7
19106,current,M,27,MEDIUM,4.9,3,958,1,11
10086,current,M,32,HIGH,4.8,6,805,1,18
3045,current,M,28,MEDIUM,4.8,5,448,0,16
17368,current,F,67,MEDIUM,42.3,6,631,1,12
9756,current,M,37,LOW,17,4,516,0,4
14772,saving,M,46,MEDIUM,10.4,5,325,1,11
16901,current,M,38,MEDIUM,12.6,10,867,1,3
9853,current,M,64,HIGH,22,5,805,1,20
678,current,F,33,HIGH,9.1,7,723,0,20
11040,current,M,62,MEDIUM,29.4,3,243,1,18
6147,current,F,28,LOW,4,3,385,1,
1585,current,M,29,MEDIUM,9,10,860,1,10
19346,current,F,28,MEDIUM,7.2,1,863,1,20
7262,current,M,66,MEDIUM,23,5,700,1,20
1202,saving,M,55,MEDIUM,24.5,7,928,0,20
7791,current,M,60,MEDIUM,4,5,685,1,15
5438,current,M,40,MEDIUM,10,3,685,0,17
18797,current,M,29,MEDIUM,2.7,2,883,1,19
8661,current,M,63,MEDIUM,17.2,4,503,1,9
17362,current,M,30,MEDIUM,7,6,700,0,13
10693,current,M,56,LOW,7.2,2,606,0,9
3905,current,M,32,MEDIUM,12,4,447,0,12
3334,current,M,62,MEDIUM,25.2,5,314,0,5
17536,current,M,34,LOW,12.6,4,950,1,5
7552,current,M,46,HIGH,18.2,10,911,0,9
18876,current,M,47,MEDIUM,21.6,10,424,1,5
8129,saving,M,49,MEDIUM,2.9,4,508,1,7
6042,current,M,33,MEDIUM,6.5,6,653,1,5
10499,current,F,118,LOW,39.2,6,525,0,11
11677,current,M,29,MEDIUM,2.7,5,945,1,18
3259,current,F,31,LOW,3.3,3,796,1,3
1584,saving,M,32,MEDIUM,7.2,9,505,1,14
2909,current,F,69,LOW,24.5,4,249,1,9
1638,current,M,66,MEDIUM,9.2,8,445,0,18
3079,saving,M,33,MEDIUM,13,8,866,1,5
19990,current,M,66,MEDIUM,36.8,5,801,1,16
582,current,M,33,MEDIUM,5.2,5,268,1,6
11396,current,M,32,LOW,12,1,385,1,15
15030,current,M,28,MEDIUM,1.6,9,249,1,15
16342,saving,M,32,MEDIUM,10.8,5,485,0,17
11264,saving,F,38,LOW,16.2,7,653,1,17
7103,current,F,47,MEDIUM,8.1,7,354,1,14
5600,current,M,34,MEDIUM,8.4,9,534,0,14
8871,saving,M,47,MEDIUM,13.5,3,762,1,14
16898,current,M,34,MEDIUM,12.6,1,911,1,14
14003,saving,M,33,MEDIUM,11.7,3,923,1,3
2403,current,F,28,LOW,5.6,8,766,1,18
12375,current,M,38,MEDIUM,12.6,3,683,0,12
12821,current,M,27,MEDIUM,2.8,1,818,0,14
3192,current,M,35,MEDIUM,7.5,9,254,0,16
17782,current,M,40,MEDIUM,18,1,723,0,15
1336,current,M,37,MEDIUM,8.5,2,710,1,17
7533,current,M,37,MEDIUM,15.3,3,748,1,2
9282,saving,M,53,LOW,23.1,6,385,1,15
17485,current,M,53,MEDIUM,29.7,9,748,0,9
13471,current,M,53,LOW,26.4,4,710,1,17
16144,current,M,49,MEDIUM,17.4,7,330,1,4
12968,current,M,55,MEDIUM,14,7,445,1,4
13835,current,M,44,LOW,12,2,448,1,5
6174,current,F,60,LOW,40,2,244,1,6
12686,current,M,62,LOW,12.6,5,725,1,12
583,current,F,53,MEDIUM,26.4,8,366,0,11
13458,current,M,47,MEDIUM,5.4,3,516,1,7
8875,current,M,44,MEDIUM,24,5,538,1,3
13417,current,M,66,LOW,9.2,3,758,0,3
15679,current,M,53,MEDIUM,19.8,9,864,1,9
16111,current,M,33,MEDIUM,3.9,1,537,1,10
5820,current,M,44,HIGH,2.4,5,268,1,12
18688,current,M,42,MEDIUM,11,1,614,1,3
2728,current,M,33,MEDIUM,6.5,8,346,0,6
10372,current,M,34,LOW,2.8,9,631,1,11
1929,current,M,44,MEDIUM,16.8,1,485,0,19
8146,current,M,40,MEDIUM,2,4,503,1,3
15114,saving,M,47,MEDIUM,21.6,4,693,1,2
16874,current,M,67,LOW,23.5,8,594,1,6
8644,current,M,33,HIGH,11.7,5,633,1,6
14576,current,M,30,MEDIUM,9,7,516,1,18
17402,current,M,38,MEDIUM,18,6,748,0,7
19577,current,M,55,LOW,35,8,324,0,6
9865,current,M,47,MEDIUM,16.2,9,911,1,19
14846,current,M,46,LOW,5.2,5,633,1,18
11063,saving,M,62,MEDIUM,8.4,6,330,1,18
6572,current,M,36,MEDIUM,6.4,9,836,0,20
19880,saving,M,32,MEDIUM,3.6,10,537,1,6
17051,current,M,30,MEDIUM,7,5,956,1,20
11491,current,M,37,LOW,10.2,8,966,1,5
7433,current,M,33,MEDIUM,3.9,3,505,1,15
14606,current,M,63,LOW,25.8,6,631,0,15
8381,saving,M,33,MEDIUM,6.5,7,698,0,9
18278,current,M,58,HIGH,15.2,5,685,1,13
14847,saving,M,34,MEDIUM,2.8,8,505,1,2
15315,current,M,47,LOW,27,9,748,1,9
16912,current,M,47,MEDIUM,21.6,10,448,1,8
1313,current,M,29,LOW,2.7,4,700,1,10
10076,current,M,34,MEDIUM,11.2,9,723,1,15
1613,current,M,33,LOW,3.9,4,485,1,4
915,current,F,44,MEDIUM,2.4,7,628,1,2
2191,current,M,36,MEDIUM,11.2,4,762,1,12
1857,current,M,32,MEDIUM,10.8,3,508,1,12
2175,current,M,27,LOW,0.7,8,355,0,17
4633,current,M,28,MEDIUM,5.6,3,330,1,9
10264,saving,M,53,LOW,33,9,944,0,13
6292,current,M,46,MEDIUM,26,4,249,0,9
18637,current,M,30,LOW,10,9,805,1,18
14800,current,M,62,MEDIUM,16.8,10,921,1,14
3899,current,M,37,MEDIUM,6.8,2,737,1,17
14064,current,M,40,MEDIUM,2,3,394,1,13
19905,current,F,30,MEDIUM,1,2,249,1,3
15144,saving,F,44,MEDIUM,9.6,6,883,0,2
13492,current,M,46,MEDIUM,10.4,7,866,1,15
13398,current,M,35,HIGH,3,9,867,0,4
16106,current,M,42,LOW,22,6,647,0,18
11605,current,M,55,LOW,28,1,858,0,12
5099,current,F,42,LOW,17.6,8,748,1,9
16206,current,M,60,MEDIUM,4,4,748,1,18
13746,current,M,66,LOW,13.8,10,867,0,17
19640,current,M,32,MEDIUM,12,4,928,1,20
7922,current,M,27,MEDIUM,2.1,8,623,1,2
8818,current,M,42,MEDIUM,13.2,6,258,1,13
16159,current,M,27,MEDIUM,3.5,7,554,1,20
11056,current,F,66,LOW,4.6,6,928,1,6
17313,current,M,33,MEDIUM,1.3,5,698,0,6
16628,current,F,42,LOW,6.6,5,867,0,8
14129,current,M,60,LOW,40,3,574,1,19
9863,current,M,60,MEDIUM,8,6,623,1,8
10398,current,M,40,MEDIUM,20,9,464,1,2
18970,current,M,27,MEDIUM,3.5,5,750,1,16
6702,saving,M,46,MEDIUM,20.8,1,638,1,3
3380,current,M,56,MEDIUM,14.4,9,424,1,14
8364,current,M,66,MEDIUM,27.6,2,243,1,6
12416,current,M,35,MEDIUM,7.5,9,385,0,5
2662,current,M,42,MEDIUM,22,7,867,0,14
15880,current,M,223,LOW,121.8,8,245,1,11
4353,current,F,29,LOW,4.5,8,966,0,7
16259,current,M,33,LOW,6.5,5,245,1,20
19838,current,M,60,MEDIUM,24,7,914,1,2
15766,current,F,32,MEDIUM,10.8,5,799,0,11
15550,current,M,33,LOW,10.4,4,823,1,19
4409,current,M,33,MEDIUM,2.6,6,626,1,20
5037,current,M,28,MEDIUM,3.2,1,700,0,6
16158,saving,F,118,MEDIUM,98,3,535,1,13
13900,current,M,33,MEDIUM,11.7,7,516,1,4
3528,current,M,27,LOW,7,4,882,1,11
13015,current,M,29,MEDIUM,3.6,1,658,1,8
13561,current,M,66,MEDIUM,9.2,5,595,1,9
4727,current,F,40,LOW,8,5,723,0,3
9941,saving,M,37,LOW,11.9,6,812,1,5
326,current,M,66,LOW,46,10,254,0,20
11450,current,M,60,LOW,32,10,485,0,13
1111,current,M,25,MEDIUM,4.5,4,958,1,11
869,current,F,66,LOW,23,7,945,1,14
3205,current,F,34,MEDIUM,4.2,10,314,0,14
6145,saving,M,47,HIGH,10.8,5,525,1,6
8688,saving,F,53,MEDIUM,29.7,2,802,1,14
18380,current,M,30,LOW,10,1,743,1,20
7798,current,M,27,MEDIUM,3.5,8,883,1,18
6334,saving,M,34,MEDIUM,11.2,5,658,1,13
12598,current,M,32,MEDIUM,10.8,1,503,1,5
15121,current,M,53,MEDIUM,23.1,9,258,1,15
15234,current,M,35,MEDIUM,12,6,503,1,19
10416,saving,M,33,LOW,2.6,8,464,1,4
19646,saving,M,30,MEDIUM,6,2,737,0,14
2776,current,M,37,LOW,5.1,4,887,0,9
17265,current,M,28,LOW,0.8,8,737,1,14
179,current,M,46,LOW,7.8,1,269,1,5
13738,saving,M,51,MEDIUM,6.2,9,748,1,12
11897,current,M,60,LOW,28,4,836,1,18
6909,current,M,33,LOW,7.8,10,801,1,12
10916,current,M,28,MEDIUM,4,2,503,1,13
2611,current,M,31,MEDIUM,1.1,6,945,1,4
13112,current,M,34,LOW,14,10,860,1,6
14607,saving,M,30,MEDIUM,9,9,945,1,4
9953,current,M,32,HIGH,10.8,2,966,1,17
11183,current,F,44,HIGH,19.2,2,258,0,4
18479,current,M,25,MEDIUM,4.5,6,485,1,12
2493,current,M,46,MEDIUM,2.6,1,595,0,15
12279,current,M,53,HIGH,33,7,354,1,16
6922,current,M,38,LOW,10.8,4,801,1,17
13869,current,M,33,MEDIUM,10.4,9,686,0,17
5859,current,M,40,MEDIUM,14,9,799,0,20
11611,current,F,30,MEDIUM,5,10,723,0,6
16023,current,M,47,LOW,21.6,1,748,1,4
5193,current,M,39,MEDIUM,5.7,1,863,1,18
13199,current,F,33,HIGH,5.2,5,454,1,6
10929,current,M,63,MEDIUM,12.9,5,683,0,4
18321,current,M,66,LOW,9.2,7,723,1,4
6907,current,F,40,MEDIUM,16,7,713,1,6
5280,current,M,37,MEDIUM,11.9,3,958,0,2
9522,current,M,47,MEDIUM,8.1,6,488,1,2
10202,current,M,220,HIGH,60,1,248,1,15
19877,saving,M,60,MEDIUM,32,1,860,1,18
7361,current,M,66,MEDIUM,4.6,9,244,1,7
4007,current,M,32,MEDIUM,6,1,385,1,18
12086,current,M,35,MEDIUM,10.5,4,866,0,3
18662,current,F,25,MEDIUM,4,1,485,1,15
15922,current,M,28,MEDIUM,4.8,5,537,1,10
11463,saving,M,28,MEDIUM,6.4,8,538,1,8
10590,current,M,37,MEDIUM,11.9,6,766,1,14
3920,current,M,37,MEDIUM,17,1,538,1,2
4957,current,M,32,MEDIUM,7.2,2,245,1,4
4068,current,M,53,MEDIUM,16.5,5,802,0,16
14000,current,M,62,MEDIUM,12.6,2,269,0,20
14121,current,F,35,LOW,3,8,537,1,13
6485,current,M,32,HIGH,9.6,9,700,1,20
7027,current,F,37,LOW,8.5,7,658,1,4
9116,current,M,30,LOW,6,9,566,0,7
14048,current,F,69,MEDIUM,4.9,4,516,1,11
2054,current,M,33,LOW,11.7,10,685,0,17
12616,current,M,30,LOW,3,10,863,1,3
758,current,F,47,HIGH,18.9,6,708,1,15
16049,current,M,33,MEDIUM,13,8,887,1,17
17956,saving,M,120,LOW,80,2,270,1,18
10849,current,M,37,LOW,10.2,10,911,1,10
14974,current,M,42,MEDIUM,11,7,485,1,5
17606,current,M,32,MEDIUM,7.2,8,366,0,14
13537,current,M,34,MEDIUM,5.6,3,535,1,12
2779,current,M,33,MEDIUM,3.9,3,945,1,17
11601,current,M,29,HIGH,2.7,2,503,0,3
5347,current,M,38,LOW,9,2,623,1,20
17577,current,M,35,LOW,1.5,9,737,0,20
793,current,M,27,MEDIUM,6.3,8,737,1,20
6782,current,M,27,MEDIUM,2.8,2,324,1,3
14050,current,M,35,MEDIUM,1.5,6,698,0,14
18155,current,M,53,MEDIUM,33,9,766,1,18
6101,current,M,40,HIGH,10,8,855,1,9
15205,saving,M,53,HIGH,3.3,7,385,1,10
2541,current,M,35,LOW,10.5,10,594,1,19
8326,current,M,53,MEDIUM,19.8,4,445,1,9
16880,current,M,53,HIGH,19.8,5,614,1,9
18629,saving,M,29,MEDIUM,2.7,5,249,1,16
1427,saving,M,42,MEDIUM,8.8,8,858,1,6
10116,current,M,28,MEDIUM,8,2,595,1,19
1798,current,M,33,MEDIUM,3.9,9,249,1,5
8704,current,M,32,MEDIUM,1.2,2,771,0,9
12832,current,M,67,MEDIUM,47,7,743,1,14
11038,current,M,31,LOW,3.3,3,314,1,17
9560,current,M,42,MEDIUM,15.4,5,274,1,19
1431,current,M,42,LOW,22,3,748,1,12
7175,saving,M,55,MEDIUM,24.5,4,867,1,16
14182,current,M,40,MEDIUM,12,1,613,1,10
10210,current,M,42,MEDIUM,19.8,4,867,0,10
16965,current,M,55,MEDIUM,7,1,867,1,4
19717,current,M,60,MEDIUM,36,8,535,1,14
14120,current,M,28,MEDIUM,6.4,2,658,0,9
17143,current,M,31,LOW,2.2,3,525,0,14
6171,current,M,46,MEDIUM,7.8,10,698,1,7
17578,current,F,66,MEDIUM,23,10,299,1,2
10026,current,M,55,LOW,14,2,867,0,10
8580,current,M,32,LOW,4.8,1,394,1,2
2861,current,M,35,LOW,10.5,1,385,1,8
2323,current,F,35,MEDIUM,4.5,5,274,1,18
11669,current,M,33,MEDIUM,9.1,5,746,1,8
8512,current,M,27,MEDIUM,4.2,3,887,1,12
2628,current,M,60,MEDIUM,36,9,683,0,7
3724,current,F,66,MEDIUM,4.6,10,296,1,13
7130,current,M,64,MEDIUM,44,4,123,0,11
14418,current,M,47,MEDIUM,10.8,8,268,0,5
12381,current,M,56,MEDIUM,14.4,2,518,0,7
18665,current,M,33,MEDIUM,5.2,10,536,1,10
751,current,M,33,MEDIUM,10.4,9,593,1,2
16909,saving,M,47,MEDIUM,24.3,7,249,1,19
8673,current,M,40,MEDIUM,6,6,945,1,20
18097,current,M,38,MEDIUM,9,8,974,0,16
5848,current,M,36,LOW,14.4,4,537,1,15
14319,current,M,37,HIGH,17,4,737,1,18
5484,current,M,28,MEDIUM,0.8,7,394,0,17
11426,current,M,53,LOW,19.8,9,464,1,18
11652,current,M,32,MEDIUM,9.6,10,447,1,11
2632,current,M,219,MEDIUM,159.2,6,355,1,13
13012,current,F,69,MEDIUM,9.8,4,614,1,9
2163,current,M,35,MEDIUM,13.5,2,685,1,13
14262,current,M,40,LOW,10,5,465,0,3
9377,current,M,35,LOW,15,3,451,1,6
12773,current,M,40,MEDIUM,8,1,628,1,5
6536,current,M,47,HIGH,8.1,8,700,1,15
10496,current,M,33,MEDIUM,3.9,6,538,1,6
11025,current,F,31,HIGH,2.2,9,628,0,18
10872,current,M,64,MEDIUM,39.6,3,723,0,14
17415,current,M,37,LOW,1.7,8,355,1,7
7195,current,M,28,LOW,6.4,2,485,1,20
19664,current,M,42,LOW,2.2,3,446,1,7
19103,saving,M,222,MEDIUM,20.2,8,883,1,16
8991,current,M,44,MEDIUM,16.8,7,366,0,10
421,saving,F,58,MEDIUM,7.6,6,750,1,15
16866,saving,M,60,MEDIUM,24,9,249,1,20
19660,current,F,33,MEDIUM,1.3,8,818,1,19
6981,current,F,30,LOW,1,5,523,1,11
1393,saving,F,29,MEDIUM,6.3,9,639,1,13
18516,current,M,60,HIGH,32,6,801,0,3
17733,current,M,28,MEDIUM,3.2,2,966,1,6
2,current,M,38,MEDIUM,10.8,8,537,1,4
9529,current,M,37,LOW,15.3,10,974,0,6
16584,current,F,35,MEDIUM,6,6,385,1,6
16947,current,M,50,MEDIUM,24,4,623,1,7
535,current,F,35,MEDIUM,6,1,683,1,17
11914,current,M,40,LOW,18,10,968,0,17
18926,current,M,34,LOW,9.8,9,928,0,11
2284,current,M,36,MEDIUM,4.8,3,299,1,10
8498,current,M,47,MEDIUM,5.4,2,316,1,10
4668,current,M,55,MEDIUM,14,3,325,1,4
17040,current,M,66,LOW,9.2,8,750,0,5
16092,saving,M,28,MEDIUM,0.8,6,123,1,19
8651,current,M,50,MEDIUM,9,10,511,1,7
9448,current,M,60,LOW,36,8,536,1,9
3919,current,M,34,LOW,14,3,748,1,17
9566,current,M,33,LOW,3.9,1,887,1,10
7877,current,M,37,MEDIUM,11.9,3,464,0,9
17846,current,M,51,LOW,3.1,3,966,1,11
15353,saving,F,37,LOW,17,5,508,1,19
5108,current,M,53,HIGH,16.5,5,614,1,16
17192,current,M,47,HIGH,2.7,6,802,0,4
13161,current,F,64,MEDIUM,26.4,10,867,1,2
6197,current,M,32,MEDIUM,10.8,6,247,1,17
19744,current,M,37,MEDIUM,8.5,5,883,1,11
4196,current,M,35,LOW,4.5,7,465,0,12
3340,saving,M,118,MEDIUM,78.4,6,314,1,10
18293,current,F,66,LOW,46,3,771,1,7
14152,current,M,42,MEDIUM,17.6,3,330,1,7
1126,saving,M,34,HIGH,11.2,3,653,1,3
6475,current,M,35,LOW,13.5,5,488,0,15
18961,current,F,39,MEDIUM,5.7,4,346,0,2
1995,current,M,42,MEDIUM,15.4,2,245,1,19
7612,current,M,60,MEDIUM,36,6,799,1,4
15250,saving,M,66,LOW,32.2,6,305,1,8
2834,current,M,56,MEDIUM,3.6,6,860,1,13
11647,current,M,27,MEDIUM,2.1,6,623,1,6
13684,current,M,66,MEDIUM,9.2,5,299,1,12
1118,saving,F,53,LOW,23.1,4,615,0,19
8204,current,M,37,LOW,15.3,9,536,1,10
16798,saving,F,37,MEDIUM,5.1,10,653,1,2
18549,current,F,62,LOW,12.6,8,445,1,20
539,saving,F,33,MEDIUM,9.1,9,258,1,20
7756,current,M,60,LOW,24,9,802,1,8
13388,current,M,32,HIGH,7.2,3,268,1,6
16829,current,M,29,MEDIUM,0.9,1,245,1,2
11218,saving,M,28,MEDIUM,8,1,254,0,8
17115,current,M,37,LOW,6.8,6,623,0,7
7519,current,M,39,MEDIUM,1.9,8,818,1,18
10594,current,F,47,LOW,24.3,3,640,1,9
6403,current,M,29,LOW,2.7,2,623,0,3
4686,current,M,47,MEDIUM,8.1,7,860,1,7
10114,current,F,47,HIGH,21.6,4,737,1,6
4398,current,M,60,LOW,24,8,537,1,19
8049,current,M,40,LOW,8,5,737,1,11
15322,current,M,120,MEDIUM,10,9,883,1,13
17437,current,M,42,LOW,8.8,8,269,1,11
1196,current,M,40,LOW,2,4,614,1,11
17497,current,M,50,MEDIUM,21,4,656,1,13
6544,current,M,30,LOW,7,4,488,1,3
4831,current,M,55,MEDIUM,24.5,10,538,1,10
4121,current,M,47,MEDIUM,24.3,2,866,1,14
4295,current,M,28,MEDIUM,1.6,7,748,0,20
4647,current,M,40,MEDIUM,16,6,647,1,12
16308,current,M,33,MEDIUM,5.2,5,488,0,19
16577,current,M,53,LOW,29.7,10,331,1,19
17080,current,M,33,MEDIUM,13,7,539,1,16
3836,current,M,58,LOW,34.2,5,426,1,13
12646,saving,M,33,MEDIUM,10.4,10,394,1,8
4445,current,M,66,LOW,46,2,805,1,8
5360,current,M,35,LOW,15,9,867,1,11
6383,saving,F,36,MEDIUM,12.8,5,867,0,6
12728,current,M,47,MEDIUM,24.3,3,582,0,5
15109,current,M,37,MEDIUM,11.9,8,505,0,10
7000,current,M,47,LOW,24.3,2,245,1,7
17704,current,M,31,MEDIUM,3.3,7,539,0,15
9759,current,M,33,MEDIUM,9.1,10,245,0,9
7024,current,M,219,MEDIUM,119.4,5,683,1,3
3542,current,M,27,HIGH,6.3,8,814,0,10
19831,current,M,50,MEDIUM,15,5,233,1,18
19622,current,M,33,MEDIUM,5.2,7,503,1,2
15441,current,M,56,LOW,25.2,6,748,1,13
19648,saving,M,66,MEDIUM,23,9,723,1,16
19836,current,M,46,MEDIUM,5.2,8,743,1,14
762,current,F,28,MEDIUM,2.4,8,269,0,9
251,saving,M,58,LOW,38,1,771,1,12
17062,current,M,118,MEDIUM,39.2,2,274,0,15
6766,current,M,66,MEDIUM,46,1,505,1,7
11617,current,M,33,MEDIUM,9.1,8,883,1,6
10446,current,M,66,LOW,36.8,6,858,0,4
15068,saving,M,66,MEDIUM,27.6,7,802,1,14
13779,current,M,38,LOW,5.4,8,506,1,6
154,current,M,33,LOW,1.3,3,464,1,16
13745,current,M,38,MEDIUM,12.6,7,505,0,6
9930,current,M,27,MEDIUM,7,4,485,1,15
12170,saving,M,56,MEDIUM,36,5,966,0,14
14483,current,M,47,MEDIUM,21.6,9,519,0,14
11487,current,M,46,LOW,15.6,4,249,1,6
10838,current,F,35,HIGH,3,9,865,0,9
18338,current,M,35,MEDIUM,10.5,7,385,0,4
14457,current,M,30,MEDIUM,4,3,486,1,15
14490,saving,M,33,LOW,13,6,686,0,8
1291,saving,M,33,MEDIUM,7.8,1,503,1,4
10979,current,M,66,MEDIUM,4.6,10,867,1,11
8560,current,M,33,MEDIUM,3.9,2,485,0,9
11731,saving,M,44,LOW,2.4,2,123,1,18
15924,current,M,47,MEDIUM,13.5,5,538,1,3
8427,current,F,42,MEDIUM,17.6,10,464,1,19
4553,current,M,36,MEDIUM,8,8,249,1,11
12790,current,M,37,LOW,8.5,10,446,1,13
17838,current,M,54,MEDIUM,30.6,2,505,1,13
6784,current,M,40,LOW,16,10,594,1,12
8917,current,M,35,MEDIUM,15,3,243,1,18
8602,current,M,32,LOW,10.8,2,748,1,14
7186,current,M,55,HIGH,7,10,693,0,16
15398,current,M,53,LOW,19.8,9,503,1,19
722,current,M,37,MEDIUM,1.7,6,966,1,4
14640,current,M,47,HIGH,18.9,1,818,1,8
19254,current,M,54,LOW,17,5,395,1,11
13837,current,M,33,HIGH,5.2,1,466,1,17
8566,current,M,60,MEDIUM,32,7,809,1,6
